name,hour,flow,Normalized Data,150,200,100,50,0,station_number,week
station27,2024-04-03 22:00:00,1.058823529,0.105882353,0.115078524,0.107705377,0.108464919,0.132858485,0.02611376,27,1
station27,2024-04-03 23:00:00,1.304347826,0.130434783,0.119179949,0.12069682,0.128094718,0.11557696,0.654265344,27,1
station27,2024-04-04 00:00:00,1.117647059,0.111764706,0.103349686,0.111817792,0.119666934,0.107769512,0.544252992,27,1
station27,2024-04-04 01:00:00,1.0,0.1,0.080476955,0.100897864,0.102659069,0.10185419,0.297158152,27,1
station27,2024-04-04 02:00:00,0.0,0.0,4.63e-05,0.002300883,0.009744626,0.024936516,-0.070198894,27,1
station27,2024-04-04 03:00:00,0.0,0.0,0.000153191,0.012742463,-0.00054301,0.011267208,-0.279898256,27,1
station27,2024-04-04 04:00:00,1.0,0.1,0.099144861,0.105730973,0.096585751,0.039829411,0.270326078,27,1
station27,2024-04-04 05:00:00,0.0,0.0,0.019138688,0.001341606,9.31e-05,0.010432879,-0.19491975,27,1
station27,2024-04-04 06:00:00,0.0,0.0,0.027794832,0.000713832,-0.00189751,-0.001276668,0.781192899,27,1
station27,2024-04-04 07:00:00,1.0,0.1,0.100753173,0.10526605,0.102261603,0.068200275,0.310175508,27,1
station27,2024-04-04 08:00:00,1.103448276,0.110344828,0.117563568,0.113491572,0.11184448,0.187217876,0.525337577,27,1
station27,2024-04-04 09:00:00,1.273972603,0.12739726,0.12117599,0.114533424,0.128309563,0.106234469,0.165653974,27,1
station27,2024-04-04 10:00:00,1.340909091,0.134090909,0.128056824,0.164912313,0.119431116,0.117576778,-0.050531298,27,1
station27,2024-04-04 11:00:00,1.222222222,0.122222222,0.158708468,0.113854304,0.1150475,0.113766454,-0.125637531,27,1
station27,2024-04-04 12:00:00,1.0,0.1,0.124853984,0.114402667,0.115129292,0.114415906,0.150313586,27,1
station27,2024-04-04 13:00:00,1.260869565,0.126086956,0.110498294,0.115407228,0.117974654,0.117631838,0.395756334,27,1
station27,2024-04-04 14:00:00,1.088235294,0.108823529,0.113303103,0.10718669,0.112596646,0.112298176,0.007812114,27,1
station27,2024-04-04 15:00:00,1.048780488,0.104878049,0.116038248,0.112145305,0.109995484,0.120688453,0.728845298,27,1
station27,2024-04-04 16:00:00,1.259259259,0.125925926,0.121336684,0.119170345,0.11307399,0.114342734,0.00121057,27,1
station27,2024-04-04 17:00:00,1.0,0.1,0.117380284,0.113076821,0.106198132,0.112238646,0.072533622,27,1
station27,2024-04-04 18:00:00,1.15,0.115,0.113385126,0.103813216,0.103766538,0.257564157,0.084906332,27,1
station27,2024-04-04 19:00:00,2.0,0.2,0.104468271,0.105414867,0.101614416,0.184733331,0.007865888,27,1
station27,2024-04-04 20:00:00,1.057142857,0.105714286,0.115766779,0.103737749,0.106899038,0.111126065,-0.024335032,27,1
station27,2024-04-04 21:00:00,1.038461538,0.103846154,0.13568297,0.113503709,0.108798489,0.110953927,0.329556376,27,1
station27,2024-04-04 22:00:00,1.058823529,0.105882353,0.111730114,0.107051894,0.10815537,0.212766677,0.740195155,27,1
station27,2024-04-04 23:00:00,1.304347826,0.130434783,0.120381877,0.1115738,0.118745327,0.100032255,-0.040440194,27,1
station27,2024-04-05 00:00:00,1.117647059,0.111764706,0.109905921,0.116754219,0.128223032,0.092751227,0.160603613,27,1
station27,2024-04-05 01:00:00,1.0,0.1,0.09953019,0.100639448,0.090802647,0.081957601,0.117101289,27,1
station27,2024-04-05 02:00:00,0.0,0.0,-0.000160536,0.003671221,-0.002704891,0.021845255,-0.133108929,27,1
station27,2024-04-05 03:00:00,0.0,0.0,-0.000790061,0.001438583,0.006291777,0.017294645,0.106999919,27,1
station27,2024-04-05 04:00:00,1.0,0.1,0.090516664,0.103013232,0.097328864,0.027167162,0.435031712,27,1
station27,2024-04-05 05:00:00,0.0,0.0,0.011293355,-0.001844142,-0.000377421,0.029843088,-0.158963799,27,1
station27,2024-04-05 06:00:00,0.0,0.0,0.045927931,0.001380753,-0.004218909,0.12069656,0.261725128,27,1
station27,2024-04-05 07:00:00,1.0,0.1,0.102913775,0.102680221,0.104338922,0.060813248,0.225072592,27,1
station27,2024-04-05 08:00:00,1.103448276,0.110344828,0.113307439,0.111668147,0.113320842,0.108481504,-0.231154919,27,1
station27,2024-04-05 09:00:00,1.0,0.1,0.112273894,0.121765271,0.134304509,0.106669351,0.231859654,27,1
station27,2024-04-05 10:00:00,1.340909091,0.134090909,0.116616867,0.136020407,0.123232082,0.118071958,-0.099018998,27,1
station27,2024-04-05 11:00:00,1.222222222,0.122222222,0.138159379,0.111996219,0.109003231,0.111258961,0.068952762,27,1
station27,2024-04-05 12:00:00,1.136363636,0.113636364,0.110876858,0.112281106,0.112292826,0.108172655,0.194722489,27,1
station27,2024-04-05 13:00:00,1.0,0.1,0.122345529,0.123873629,0.109498002,0.164672166,0.263225019,27,1
station27,2024-04-05 14:00:00,1.088235294,0.108823529,0.117389664,0.10618528,0.108804107,0.116650067,0.180744588,27,1
station27,2024-04-05 15:00:00,1.048780488,0.104878049,0.113878131,0.108474232,0.111447416,0.116361544,0.578391075,27,1
station27,2024-04-05 16:00:00,1.259259259,0.125925926,0.1187132,0.108359396,0.114659831,0.141563088,0.340022743,27,1
station27,2024-04-05 17:00:00,1.16,0.116,0.118033014,0.116158426,0.107865594,0.108913161,0.022027558,27,1
station27,2024-04-05 18:00:00,1.15,0.115,0.104784824,0.10490413,0.111403607,0.108851314,0.389706403,27,1
station27,2024-04-05 19:00:00,1.034482759,0.103448276,0.118831679,0.107691526,0.102084264,0.108468652,0.133753508,27,1
station27,2024-04-05 20:00:00,1.057142857,0.105714286,0.117496051,0.106189072,0.102426626,0.112316385,0.216241047,27,1
station27,2024-04-05 21:00:00,1.0,0.1,0.118647352,0.105383255,0.104161799,0.111458376,0.178365678,27,1
station27,2024-04-05 22:00:00,1.058823529,0.105882353,0.11509186,0.103617646,0.107321419,0.107598543,0.104030326,27,1
station27,2024-04-05 23:00:00,1.304347826,0.130434783,0.112250067,0.125495806,0.120865405,0.114083886,-0.11265745,27,1
station27,2024-04-06 00:00:00,1.117647059,0.111764706,0.118040942,0.115132712,0.113302425,0.10678035,-0.106111504,27,1
station27,2024-04-06 01:00:00,1.0,0.1,0.100532591,0.100707375,0.099605598,0.078170806,0.012255418,27,1
station27,2024-04-06 02:00:00,0.0,0.0,-0.000780945,0.002139314,-0.003223885,0.185588211,0.229275018,27,1
station27,2024-04-06 03:00:00,0.0,0.0,-0.001895272,0.001547441,-0.001401286,0.021807557,-0.165341944,27,1
station27,2024-04-06 04:00:00,1.0,0.1,0.102402255,0.103476718,0.100434363,0.017452046,0.319088459,27,1
station27,2024-04-06 05:00:00,0.0,0.0,0.011795376,0.000485105,0.006523301,0.117644206,0.013140698,27,1
station27,2024-04-06 06:00:00,0.0,0.0,0.039729357,-0.001363112,-1.96e-05,0.031355698,0.472678512,27,1
station27,2024-04-06 07:00:00,1.0,0.1,0.101557866,0.102846801,0.09825436,0.050433349,-0.341853678,27,1
station27,2024-04-06 08:00:00,1.103448276,0.110344828,0.115651406,0.110178351,0.111305952,0.101456657,0.422524929,27,1
station27,2024-04-06 09:00:00,1.273972603,0.12739726,0.124479078,0.11157874,0.119055867,0.109305859,-0.168476298,27,1
station27,2024-04-06 10:00:00,1.0,0.1,0.119581938,0.145685673,0.120618723,0.125134945,0.37879166,27,1
station27,2024-04-06 11:00:00,1.222222222,0.122222222,0.145678312,0.122015044,0.144416288,0.11571531,0.173589796,27,1
station27,2024-04-06 12:00:00,1.136363636,0.113636364,0.114030108,0.1121637,0.114240542,0.110451639,-0.096075632,27,1
station27,2024-04-06 13:00:00,1.260869565,0.126086956,0.11985065,0.115320995,0.101384088,0.108830653,-0.114219844,27,1
station27,2024-04-06 14:00:00,1.088235294,0.108823529,0.109596588,0.109710798,0.10779091,0.114481792,-0.0169523,27,1
station27,2024-04-06 15:00:00,1.048780488,0.104878049,0.111683391,0.106709301,0.112470128,0.120000385,0.223037168,27,1
station27,2024-04-06 16:00:00,1.259259259,0.125925926,0.121849135,0.1147938,0.114196323,0.094374277,0.586619556,27,1
station27,2024-04-06 17:00:00,1.16,0.116,0.113862708,0.116177857,0.099830024,0.111483827,0.230010659,27,1
station27,2024-04-06 18:00:00,1.15,0.115,0.11478021,0.108337857,0.106715225,0.167714715,0.187328935,27,1
station27,2024-04-06 19:00:00,1.034482759,0.103448276,0.111644365,0.103514478,0.108969547,0.112562403,0.181312114,27,1
station27,2024-04-06 20:00:00,1.0,0.1,0.106335081,0.105928756,0.103812836,0.112355754,-0.106489345,27,1
station27,2024-04-06 21:00:00,1.038461538,0.103846154,0.11278417,0.104073681,0.100968048,0.112346008,0.110809065,27,1
station27,2024-04-06 22:00:00,1.058823529,0.105882353,0.11822921,0.1056545,0.108606756,0.114459135,-0.587871134,27,1
station27,2024-04-06 23:00:00,1.304347826,0.130434783,0.119462468,0.111039065,0.123674378,0.115880772,0.11293669,27,1
station27,2024-04-07 00:00:00,1.0,0.1,0.109779336,0.11224474,0.112608396,0.165788516,0.664052308,27,1
station27,2024-04-07 01:00:00,1.0,0.1,0.080155432,0.106828548,0.099505715,0.103992686,-0.134757966,27,1
station27,2024-04-07 02:00:00,0.0,0.0,0.009324605,-0.001609725,0.016588412,0.084444515,0.406454146,27,1
station27,2024-04-07 03:00:00,0.0,0.0,-0.002612266,0.00224501,-0.002066509,-6.14e-05,-0.076981038,27,1
station27,2024-04-07 04:00:00,1.0,0.1,0.091441378,0.104213491,0.097485617,0.018457493,-0.108821198,27,1
station27,2024-04-07 05:00:00,0.0,0.0,0.001733874,-0.001671728,-0.001489611,0.009460611,-0.04641398,27,1
station27,2024-04-07 06:00:00,0.0,0.0,0.04504149,-0.0048686,-0.003941826,0.011044083,-0.048372108,27,1
station27,2024-04-07 07:00:00,1.0,0.1,0.099077851,0.103671111,0.107633293,0.049293675,-0.074103907,27,1
station27,2024-04-07 08:00:00,1.103448276,0.110344828,0.107455097,0.110477582,0.108387902,0.100191876,0.166905075,27,1
station27,2024-04-07 09:00:00,1.273972603,0.12739726,0.11976365,0.11505083,0.115068212,0.119417444,-0.025581032,27,1
station27,2024-04-07 10:00:00,1.340909091,0.134090909,0.124764763,0.122748733,0.122456133,0.109062061,0.266337395,27,1
station27,2024-04-07 11:00:00,1.222222222,0.122222222,0.126650929,0.138828933,0.111620225,0.121606573,-0.002720505,27,1
station27,2024-04-07 12:00:00,1.136363636,0.113636364,0.104067251,0.109625481,0.108234987,0.102783024,-0.380443037,27,1
